Номер заказа,Дата заказа,Товар,Артикул,Код,Тип,Количество,Цена,Скидка %,НДС %,Сумма,Себестоимость товара ед.,Себестоимость товара общая,Доставка на позицию,Комиссия на позицию,ПОЛНАЯ себестоимость,Прибыль,Маржа %,Источник себестоимости
653835010,2025-09-27 13:14:00.000,Тумба прикроватная Вивьен серая 50x40x40см,tsi00018,526450247,product,1.0,55000.0,0.0,0,55000.0,22467.0,22467.0,0.0,6600.0,29067.0,25933.0,47.15,товар
666923536,2025-10-09 15:43:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00146,137640051_255146512,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
666781903,2025-10-09 13:26:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00149,137640051_956085500,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
653860149,2025-09-27 13:39:00.000,Стеллаж книжный вращающийся коричневый с колесиками 1Я 173x46x46 см,tsi00007,963460237,product,1.0,81000.0,0.0,0,81000.0,49551.0,49551.0,0.0,11623.0,61174.0,19826.0,24.48,товар
666923554,2025-10-09 15:43:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00146,137640051_255146512,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
664572134,2025-10-07 14:06:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00149,137640051_956085500,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
666783714,2025-10-09 13:26:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00149,137640051_956085500,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
657802278,2025-10-01 10:06:00.000,"TURAN зеркало Baggy зеркало 630083235 70x90 см, настольное",tsi00150,630083235,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
666925334,2025-10-09 15:42:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00146,137640051_255146512,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
660951457,2025-10-04 09:50:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00149,137640051_956085500,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
653902935,2025-09-27 14:27:00.000,Тумба прикроватная Киото 2Я бежевый 40х40x48см,tsi00017,592114013,product,2.0,60000.0,0.0,0,120000.0,29301.0,58602.0,0.0,14400.0,73002.0,46998.0,39.16,товар
666635689,2025-10-09 11:08:00.000,Туалетный столик Lux серый с черной столешницей 80x40x75см 2ЯЩ,tsi00024,805128174,product,1.0,115000.0,0.0,0,115000.0,50661.0,50661.0,0.0,13800.0,64461.0,50539.0,43.95,товар
666788260,2025-10-09 13:27:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00149,137640051_956085500,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
667095373,2025-10-09 18:42:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00146,137640051_255146512,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
666979292,2025-10-09 16:42:00.000,Туалетный столик Блик светло серый с темными ящиками 120x45x150 см,tsi00022,228327222,product,1.0,79000.0,0.0,0,79000.0,48500.0,48500.0,0.0,9480.0,57980.0,21020.0,26.61,товар
660023431,2025-10-03 11:10:00.000,Туалетный столик Lux белый с белой столещницей 80x40x75 см 2ЯЩ,tsi00043,929902224,product,1.0,120000.0,0.0,0,120000.0,0.0,0.0,0.0,14400.0,14400.0,105600.0,88.0,не найдена
666975158,2025-10-09 16:34:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00146,137640051_255146512,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
