Номер заказа,Выручка,Себестоимость товаров,Доставка,Комиссия МП,ПОЛНАЯ себестоимость,НДС,Чистая прибыль,Рентабельность %,Количество товаров,Себестоимость доступна
666570957,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666978044,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666572701,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
658895390,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
668028951,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
668033652,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
668034390,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666970336,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
669828773,47000.0,0.0,0,9671.0,9671.0,0.0,37329.0,79.42,1,Да
668034500,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
668035347,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
668036208,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
668038039,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667263645,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
660314177,120000.0,0.0,0,14400.0,14400.0,0.0,105600.0,88.0,1,Да
666805656,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
668033724,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666970859,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667264497,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
668033753,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666806671,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
660185550,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667270043,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
660188445,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666808500,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667264566,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666811094,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
660191253,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667264802,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666971002,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
671847641,75000.0,47000.0,0,9000.0,56000.0,0.0,19000.0,25.33,1,Да
667975568,110000.0,50661.0,0,13200.0,63861.0,0.0,46139.0,41.94,1,Да
667265325,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
673707764,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
671247443,69000.0,35580.0,0,8280.0,43860.0,0.0,25140.0,36.43,1,Да
667265677,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
659487710,77000.0,47000.0,0,16519.0,63519.0,0.0,13481.0,17.51,1,Да
667267357,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667269522,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666895351,63000.0,34218.0,0,7560.0,41778.0,0.0,21222.0,33.69,1,Да
667263966,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666971082,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
665316019,79000.0,48500.0,0,16759.0,65259.0,0.0,13741.0,17.39,1,Да
WB4002496018,9562.0,30213.0,0,0.0,30213.0,0.0,-20651.0,-215.97,1,Да
WB4006036071,10351.0,30213.0,0,0.0,30213.0,0.0,-19862.0,-191.88,1,Да
671029024,81000.0,49551.0,0,11623.0,61174.0,0.0,19826.0,24.48,1,Да
WB4023242534,3825.0,12101.0,0,0.0,12101.0,0.0,-8276.0,-216.37,1,Да
666606489,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666971580,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
664576651,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
664577383,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
671954124,44900.0,23200.0,0,5388.0,28588.0,0.0,16312.0,36.33,1,Да
666972341,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
664578381,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
670662881,79000.0,48400.0,0,9480.0,57880.0,0.0,21120.0,26.73,1,Да
666698878,115000.0,50661.0,0,13800.0,64461.0,0.0,50539.0,43.95,1,Да
664578337,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666561493,66000.0,44934.0,0,7920.0,52854.0,0.0,13146.0,19.92,1,Да
667151630,77000.0,47000.0,0,16519.0,63519.0,0.0,13481.0,17.51,1,Да
672402595,120000.0,50661.0,0,14400.0,65061.0,0.0,54939.0,45.78,1,Да
664579393,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
661564481,79000.0,48400.0,0,9480.0,57880.0,0.0,21120.0,26.73,1,Да
666972453,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
673749101,120000.0,0.0,0,14400.0,14400.0,0.0,105600.0,88.0,1,Да
673499563,79000.0,48500.0,0,9480.0,57980.0,0.0,21020.0,26.61,1,Да
669205306,126000.0,0.0,0,15120.0,15120.0,0.0,110880.0,88.0,1,Да
669674110,140000.0,0.0,0,16800.0,16800.0,0.0,123200.0,88.0,1,Да
668019542,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
660958554,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
668879662,55000.0,24300.0,0,10631.0,34931.0,0.0,20069.0,36.49,1,Да
660958678,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666973118,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
660962362,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
664228029,20.0,0.0,0,2.4,2.4,0.0,17.6,88.0,1,Да
666790837,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667249630,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
672812122,130000.0,68436.0,0,15600.0,84036.0,0.0,45964.0,35.36,1,Да
666790894,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
660958799,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667254097,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667102478,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666793629,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
660958826,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666642872,126000.0,68436.0,0,15120.0,83556.0,0.0,42444.0,33.69,1,Да
666795487,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666926935,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666796312,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
660959579,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666794733,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
671535512,79000.0,48500.0,0,9480.0,57980.0,0.0,21020.0,26.61,1,Да
660960640,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666795611,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
670707536,280000.0,0.0,0,33600.0,33600.0,0.0,246400.0,88.0,1,Да
664611632,110000.0,0.0,0,13200.0,13200.0,0.0,96800.0,88.0,1,Да
666929604,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666797048,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
661459678,79000.0,48400.0,0,9480.0,57880.0,0.0,21120.0,26.73,1,Да
664868973,55000.0,24300.0,0,10631.0,34931.0,0.0,20069.0,36.49,1,Да
661960930,69000.0,35580.0,0,8280.0,43860.0,0.0,25140.0,36.43,1,Да
667248898,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667250642,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
673789136,41500.0,16150.0,0,4980.0,21130.0,0.0,20370.0,49.08,1,Да
666929776,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
663398919,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667250702,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666590920,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667251456,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
663401590,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667252618,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
663402443,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
664557684,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667252635,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
671179423,79000.0,35820.0,0,9480.0,45300.0,0.0,33700.0,42.66,1,Да
663403085,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666594621,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
669248203,120000.0,50661.0,0,14400.0,65061.0,0.0,54939.0,45.78,1,Да
664557884,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666595515,115000.0,50661.0,0,13800.0,64461.0,0.0,50539.0,43.95,1,Да
663403289,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
670320113,115000.0,50661.0,0,13800.0,64461.0,0.0,50539.0,43.95,1,Да
664558745,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666595504,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666934016,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
665714558,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
664559542,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666599072,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
669087761,115000.0,50661.0,0,13800.0,64461.0,0.0,50539.0,43.95,1,Да
663407083,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
669088742,115000.0,50661.0,0,13800.0,64461.0,0.0,50539.0,43.95,1,Да
664560461,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
665714708,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
663401731,79000.0,48400.0,0,9480.0,57880.0,0.0,21120.0,26.73,1,Да
664560565,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
660206931,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
665715218,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667140747,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
674326751,89900.0,0.0,0,10788.0,10788.0,0.0,79112.0,88.0,1,Да
660206992,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
